,model,run_type,accuracy,average precision,balanced accuracy,AUROC
0,random_forest_1,train,1.0,1.0,1.0,1.0
1,random_forest_1,test,0.8275888421857088,0.5456312415875588,0.7305115777349863,0.7305115777349863
2,random_forest_1,train,0.9999808934235164,0.9999507772290289,0.9999658353262726,0.9999658353262726
3,random_forest_1,test,0.8333970194879633,0.5596554565894988,0.7393920463405139,0.739392046340514
4,random_forest_1,train,0.9999808934235164,0.9999507772290289,0.9999658353262726,0.9999658353262726
5,random_forest_1,test,0.83079862437906,0.5538509806709238,0.7392606159270465,0.7392606159270465
6,random_forest_1,train,1.0,1.0,1.0,1.0
7,random_forest_1,test,0.8275124188001528,0.545701880069475,0.7322142293124093,0.7322142293124093
8,random_forest_1,train,0.9999808934235164,0.9999507772290289,0.9999658353262726,0.9999658353262726
9,random_forest_1,test,0.8288116163546045,0.5491406819818012,0.7363765693292967,0.7363765693292967
10,random_forest_1,train,1.0,1.0,1.0,1.0
11,random_forest_1,test,0.8314100114635078,0.555262575682988,0.7398521832612568,0.7398521832612567
12,random_forest_1,train,1.0,1.0,1.0,1.0
13,random_forest_1,test,0.8328620557890715,0.5583525112544732,0.7385191054242402,0.73851910542424
14,random_forest_1,train,0.9999808934235164,0.9999507772290289,0.9999658353262726,0.9999658353262726
15,random_forest_1,test,0.8283530760412686,0.5477544004383373,0.7338009768355997,0.7338009768355999
16,random_forest_1,train,0.9999808934235164,0.9999507772290289,0.9999658353262726,0.9999658353262726
17,random_forest_1,test,0.8299579671379442,0.5514952422545596,0.7355001491168358,0.7355001491168357
18,random_forest_1,train,1.0,1.0,1.0,1.0
19,random_forest_1,test,0.8311043179212839,0.5542180761084764,0.7369646573673199,0.7369646573673199
20,random_forest_1_e_mezzo,train,1.0,1.0,1.0,1.0
21,random_forest_1_e_mezzo,test,0.8239969430645777,0.5362965267160225,0.7185711551153163,0.7185711551153163
22,random_forest_1_e_mezzo,train,0.9999808934235164,0.9999507772290289,0.9999658353262726,0.9999658353262726
23,random_forest_1_e_mezzo,test,0.8283530760412686,0.5470370659099173,0.727029005210652,0.7270290052106521
24,random_forest_1_e_mezzo,train,0.9999808934235164,0.9999507772290289,0.9999658353262726,0.9999658353262726
25,random_forest_1_e_mezzo,test,0.8284294994268246,0.5473602796275931,0.729004955503571,0.729004955503571
26,random_forest_1_e_mezzo,train,1.0,1.0,1.0,1.0
27,random_forest_1_e_mezzo,test,0.823079862437906,0.5343377664035718,0.7199411279889836,0.7199411279889837
28,random_forest_1_e_mezzo,train,1.0,1.0,1.0,1.0
29,random_forest_1_e_mezzo,test,0.8280473824990447,0.5465026747288018,0.7291577545944541,0.7291577545944542
30,random_forest_1_e_mezzo,train,1.0,1.0,1.0,1.0
31,random_forest_1_e_mezzo,test,0.8262132212457012,0.5420765590186882,0.7263797975362756,0.7263797975362756
32,random_forest_1_e_mezzo,train,1.0,1.0,1.0,1.0
33,random_forest_1_e_mezzo,test,0.8285823461979366,0.5475551243409265,0.7266029074042728,0.7266029074042729
34,random_forest_1_e_mezzo,train,0.9999808934235164,0.9999507772290289,0.9999658353262726,0.9999658353262726
35,random_forest_1_e_mezzo,test,0.8242262132212457,0.5371065432281037,0.721740054591317,0.721740054591317
36,random_forest_1_e_mezzo,train,1.0,1.0,1.0,1.0
37,random_forest_1_e_mezzo,test,0.8264424914023691,0.5423337934007135,0.7234455620910268,0.7234455620910267
38,random_forest_1_e_mezzo,train,0.9999617868470327,0.9999015544580578,0.9999316706525453,0.9999316706525453
39,random_forest_1_e_mezzo,test,0.8281238058846007,0.5464898243886154,0.7268698709012948,0.726869870901295
40,random_forest_2,train,0.8278879590355,0.5461413535747314,0.7293058677616446,0.7293058677616446
41,random_forest_2,test,0.8213985479556745,0.5303719446097029,0.717938097174075,0.7179380971740751
42,random_forest_2,train,0.8266842447170316,0.5432351924271693,0.7274461371305648,0.7274461371305647
43,random_forest_2,test,0.826748184944593,0.5431995631738593,0.7254970421053407,0.7254970421053407
44,random_forest_2,train,0.8261874737284574,0.5420308740533453,0.7266205650023129,0.7266205650023129
45,random_forest_2,test,0.8241497898356898,0.5373674548598542,0.725031193340024,0.725031193340024
46,random_forest_2,train,0.8275249340823111,0.5452261347024703,0.7283849982766336,0.7283849982766336
47,random_forest_2,test,0.8224684753534581,0.5330654387631522,0.7205200248862459,0.7205200248862459
48,random_forest_2,train,0.8278115327295655,0.5458728226913174,0.7283539870141618,0.7283539870141619
49,random_forest_2,test,0.8245319067634697,0.5382820210687261,0.7256308355408018,0.7256308355408018
50,random_forest_2,train,0.826206580304941,0.5420947701125917,0.7268010515829123,0.7268010515829122
51,random_forest_2,test,0.8245319067634697,0.5383070760741514,0.7257980447167265,0.7257980447167265
52,random_forest_2,train,0.8261683671519737,0.5418662702995907,0.7255203407213742,0.7255203407213742
53,random_forest_2,test,0.8275124188001528,0.5450576330632787,0.7266963265068962,0.7266963265068962
54,random_forest_2,train,0.8285184760594597,0.5476259401470271,0.7298689174967123,0.7298689174967122
55,random_forest_2,test,0.822927015666794,0.5343635465448979,0.7225939898521687,0.7225939898521688
56,random_forest_2,train,0.8271045893996714,0.5441668688611234,0.727319828511334,0.727319828511334
57,random_forest_2,test,0.822850592281238,0.5339481287616517,0.7208688533231367,0.7208688533231367
58,random_forest_2,train,0.826665138140548,0.5431060348574185,0.7266594597929237,0.7266594597929236
59,random_forest_2,test,0.8257546809323653,0.5409016779343798,0.7250582738620136,0.7250582738620135
60,random_forest_3,train,0.827429401199893,0.5449321510531004,0.7276079841509551,0.7276079841509551
61,random_forest_3,test,0.8204050439434467,0.5278652840674024,0.7154928188196523,0.7154928188196523
62,random_forest_3,train,0.8269517367878023,0.5438690264832442,0.7277572175263227,0.7277572175263227
63,random_forest_3,test,0.8262132212457012,0.541912621475364,0.7247913103649916,0.7247913103649916
64,random_forest_3,train,0.8270472696702205,0.544057042724794,0.7275099783038963,0.7275099783038963
65,random_forest_3,test,0.8254489873901414,0.5405082978728512,0.7272706278337779,0.7272706278337779
66,random_forest_3,train,0.8276013603882456,0.5453958071617548,0.7283544319351177,0.7283544319351177
67,random_forest_3,test,0.8217042414978983,0.5313212683867043,0.7199059726004265,0.7199059726004265
68,random_forest_3,train,0.8275249340823111,0.545173848289449,0.7278624200378045,0.7278624200378045
69,random_forest_3,test,0.8247611769201376,0.5388261401385993,0.7259571790260835,0.7259571790260835
70,random_forest_3,train,0.8267224578699989,0.5432794879022245,0.7270755007574031,0.7270755007574031
71,random_forest_3,test,0.8250668704623615,0.5394284258305629,0.7255005214015278,0.7255005214015277
72,random_forest_3,train,0.8265313921051626,0.5427640456571795,0.72627398516996,0.72627398516996
73,random_forest_3,test,0.8276652655712649,0.5454966475200318,0.7277220665140531,0.7277220665140531
74,random_forest_3,train,0.8284420497535252,0.547433032612515,0.7296695494131433,0.7296695494131434
75,random_forest_3,test,0.8226213221245701,0.5337018728723943,0.7225490199489506,0.7225490199489506
76,random_forest_3,train,0.8269326302113187,0.5436911332262874,0.7264479619498524,0.7264479619498524
77,random_forest_3,test,0.8236912495223538,0.5359499368523221,0.7220375779065156,0.7220375779065156
78,random_forest_3,train,0.8267797775994498,0.5433232303147355,0.726237353948693,0.7262373539486929
79,random_forest_3,test,0.8246847535345816,0.5381745465751664,0.7220583232100312,0.7220583232100312
80,random_forest_4,train,0.8277924261530819,0.5458381260620802,0.7284452411177534,0.7284452411177534
81,random_forest_4,test,0.8220099350401223,0.5317095367262571,0.7178608278045867,0.7178608278045868
82,random_forest_4,train,0.8269517367878023,0.5438214909027814,0.7273182518057062,0.7273182518057062
83,random_forest_4,test,0.8274359954145969,0.544837456321446,0.7261416542093366,0.7261416542093365
84,random_forest_4,train,0.8276968932706638,0.5455924112641515,0.7281489989717976,0.7281489989717975
85,random_forest_4,test,0.8234619793656859,0.535791910293316,0.7243865812360281,0.7243865812360281
86,random_forest_4,train,0.8282318774122053,0.5469129617626522,0.7292310286134829,0.7292310286134829
87,random_forest_4,test,0.8222392051967902,0.5325688785667627,0.7205280997528134,0.7205280997528134
88,random_forest_4,train,0.8279643853414346,0.5462084211028883,0.7282092418129176,0.7282092418129175
89,random_forest_4,test,0.8244554833779136,0.5381471165507928,0.725828604534903,0.725828604534903
90,random_forest_4,train,0.8273338683174749,0.5447420768852838,0.7278761265029345,0.7278761265029345
