,model,run_type,accuracy,average precision,balanced accuracy,AUROC
0,decision_tree_1,train,0.9998498611215374,0.9988888397403504,0.9993693504309439,0.9993693504309439
1,decision_tree_1,test,0.8462115904313883,0.2056604451007782,0.6376986187129391,0.6376986187129391
2,decision_tree_1,train,0.999887395841153,0.9991666298052627,0.9995270128232079,0.9995270128232079
3,decision_tree_1,test,0.8456610949854869,0.2107978099145673,0.6446568956526741,0.6446568956526741
4,decision_tree_1,train,0.999824837975127,0.998703646363742,0.9992642421694344,0.9992642421694344
5,decision_tree_1,test,0.8544690221199079,0.22604355962796358,0.6556543905626542,0.6556543905626542
6,decision_tree_1,train,0.9998373495483323,0.9987962430520462,0.9993167963001892,0.9993167963001892
7,decision_tree_1,test,0.8532679411470323,0.2224356591787679,0.6524279352914188,0.6524279352914188
8,decision_tree_1,train,0.9998748842679479,0.9990740331169586,0.9994744586924532,0.9994744586924532
9,decision_tree_1,test,0.8541687518766891,0.22207062303381553,0.6511215308579394,0.6511215308579393
10,decision_tree_1,train,0.9998373495483323,0.9987962430520462,0.9993167963001892,0.9993167963001892
11,decision_tree_1,test,0.8553197878090282,0.22263179959561147,0.6506842200390153,0.6506842200390153
12,decision_tree_1,train,0.9998123264019217,0.9986110496754379,0.9992116880386799,0.9992116880386799
13,decision_tree_1,test,0.8510159143228906,0.21159961300019325,0.6411524990115822,0.6411524990115823
14,decision_tree_1,train,0.9998373495483323,0.9987962430520462,0.9993167963001892,0.9993167963001892
15,decision_tree_1,test,0.852617355620058,0.21614588192473388,0.6453332606451998,0.6453332606451997
16,decision_tree_1,train,0.999887395841153,0.9991666298052627,0.9995270128232079,0.9995270128232079
17,decision_tree_1,test,0.8537183465118606,0.2215064940729075,0.6508658926144583,0.6508658926144582
18,decision_tree_1,train,0.9998373495483323,0.9987962430520462,0.9993167963001892,0.9993167963001892
19,decision_tree_1,test,0.8511660494445,0.22016003985045787,0.6515984930059282,0.6515984930059282
20,decision_tree_1 e mezzo,train,0.9998498611215374,0.9987402897333614,0.999914787252173,0.9999147872521729
21,decision_tree_1 e mezzo,test,0.8502151936743069,0.19851738706597855,0.6254295112914592,0.6254295112914592
22,decision_tree_1 e mezzo,train,0.9998748842679479,0.99895002099958,0.9999289893768109,0.9999289893768109
23,decision_tree_1 e mezzo,test,0.8535181663497148,0.20999364335541346,0.636937900621997,0.636937900621997
24,decision_tree_1 e mezzo,train,0.9997998148287166,0.998321091290661,0.9998863830028972,0.9998863830028972
25,decision_tree_1 e mezzo,test,0.8535181663497148,0.2105833847587852,0.6376649729901738,0.6376649729901738
26,decision_tree_1 e mezzo,train,0.9998123264019217,0.9984258579074404,0.9998934840652162,0.9998934840652162
27,decision_tree_1 e mezzo,test,0.8526674006605945,0.2064942234275567,0.633364970819559,0.6333649708195589
28,decision_tree_1 e mezzo,train,0.9998748842679479,0.99895002099958,0.9999289893768109,0.9999289893768109
29,decision_tree_1 e mezzo,test,0.8510659593634271,0.20335245185157727,0.630820122014339,0.6308201220143391
30,decision_tree_1 e mezzo,train,0.999824837975127,0.9985306465155331,0.9999005851275351,0.9999005851275351
31,decision_tree_1 e mezzo,test,0.8563206886197577,0.21506769599817913,0.6405279875939218,0.6405279875939217
32,decision_tree_1 e mezzo,train,0.9997998148287166,0.998321091290661,0.9998863830028972,0.9998863830028972
33,decision_tree_1 e mezzo,test,0.8514162746471825,0.20128230578496137,0.6279288941945177,0.6279288941945177
34,decision_tree_1 e mezzo,train,0.999824837975127,0.9985306465155331,0.9999005851275351,0.9999005851275351
35,decision_tree_1 e mezzo,test,0.8561205084576119,0.2125764776545852,0.6376878492161562,0.6376878492161561
36,decision_tree_1 e mezzo,train,0.9998748842679479,0.99895002099958,0.9999289893768109,0.9999289893768109
37,decision_tree_1 e mezzo,test,0.8563206886197577,0.21267758118358085,0.6376196981212148,0.6376196981212148
38,decision_tree_1 e mezzo,train,0.999824837975127,0.9985306465155331,0.9999005851275351,0.9999005851275351
39,decision_tree_1 e mezzo,test,0.8514162746471825,0.20331168501800834,0.6304736474831364,0.6304736474831364
40,decision_tree_1 e settantacinque,train,0.9219152716262543,0.4575274710084414,0.7669611299223498,0.7669611299223499
41,decision_tree_1 e settantacinque,test,0.8660794715243719,0.21990516662150972,0.6358878030482069,0.6358878030482069
42,decision_tree_1 e settantacinque,train,0.9222280609563847,0.45759256187369923,0.7651387214691496,0.7651387214691497
