,model,run_type,accuracy,average precision,balanced accuracy,AUROC
0,SGD_1,train,0.8653254260190676,0.21386616500195688,0.6297100777619615,0.6297100777619615
1,SGD_1,test,0.8682314082674407,0.22303085458071686,0.6369274176750175,0.6369274176750175
2,SGD_1,train,0.8561919775792608,0.21641749106517538,0.6423439050959635,0.6423439050959635
3,SGD_1,test,0.8496646982284055,0.207867130696972,0.6376590629004757,0.6376590629004757
4,SGD_1,train,0.8806521031954558,0.1536648643968827,0.5398666267339265,0.5398666267339264
5,SGD_1,test,0.8793914523070764,0.14742317296700302,0.534746014313115,0.5347460143131149
6,SGD_1,train,0.8473337837499687,0.264672096835863,0.7094958256501441,0.7094958256501441
7,SGD_1,test,0.8442097888099289,0.2561591356660214,0.7021807299698642,0.7021807299698644
8,SGD_1,train,0.8695042914696094,0.26230916698089446,0.680716615802739,0.680716615802739
9,SGD_1,test,0.8677309578620759,0.25845261554271015,0.6786318044444686,0.6786318044444687
10,SGD_1,train,0.8428296173960914,0.2622202862458211,0.7109393132376782,0.7109393132376782
11,SGD_1,test,0.8487138424582124,0.27541291493331305,0.7209144725966095,0.7209144725966095
12,SGD_1,train,0.806408427795711,0.2832197602020774,0.7677656025102548,0.7677656025102549
13,SGD_1,test,0.8073265939345411,0.2898746602751981,0.7755844380246145,0.7755844380246146
14,SGD_1,train,0.8741460851287441,0.23600001718329985,0.6438978465208246,0.6438978465208246
15,SGD_1,test,0.8693824441997798,0.2184299664926371,0.6301282236345466,0.6301282236345466
16,SGD_1,train,0.8573805770337563,0.22419772750679795,0.6505637153765964,0.6505637153765964
17,SGD_1,test,0.8575217695926334,0.2264091407914844,0.6530246155594108,0.6530246155594108
18,SGD_1,train,0.8651877987138102,0.23833659440507382,0.658585570670029,0.658585570670029
19,SGD_1,test,0.8642278050245221,0.23124279629369623,0.6513777422010277,0.6513777422010277
20,SGD_2,train,0.8754347771688812,0.2229743270767978,0.6270843715234724,0.6270843715234724
21,SGD_2,test,0.8738364528075268,0.22171666903756937,0.6279302314269342,0.6279302314269342
22,SGD_2,train,0.8765357956109401,0.2269895745895933,0.6299819184293254,0.6299819184293254
23,SGD_2,test,0.8741367230507456,0.21811995541328377,0.6233746865294394,0.6233746865294394
24,SGD_2,train,0.8630858544153341,0.22288189445083162,0.6428930633694443,0.6428930633694443
25,SGD_2,test,0.861325192673406,0.21604883107166956,0.6366429931158559,0.6366429931158559
26,SGD_2,train,0.8770237469659435,0.24958557420384783,0.6549398760203781,0.6549398760203781
27,SGD_2,test,0.8750875788209388,0.2441397544537559,0.6517248853484388,0.6517248853484386
28,SGD_2,train,0.8830167905312414,0.1687312287847873,0.552299276210527,0.5522992762105269
29,SGD_2,test,0.8801421279151236,0.1600187260639152,0.5478958444953437,0.5478958444953436
30,SGD_2,train,0.8724820458924505,0.23581115582702117,0.6460896669544749,0.6460896669544749
31,SGD_2,test,0.8734861375237714,0.23759464444691786,0.6466352832546002,0.6466352832546002
32,SGD_2,train,0.8843305057177889,0.20924420416297992,0.5957253190151873,0.5957253190151873
33,SGD_2,test,0.8840956861175058,0.2063455400010649,0.5928552818185081,0.5928552818185081
34,SGD_2,train,0.8758977053774741,0.2586587769701778,0.667073092642122,0.667073092642122
35,SGD_2,test,0.8745370833750375,0.25347962924055956,0.6632273645892786,0.6632273645892786
36,SGD_2,train,0.8753847308760604,0.17552788852806553,0.5726940974250345,0.5726940974250345
37,SGD_2,test,0.8738364528075268,0.17136772882293372,0.5697644419727932,0.5697644419727932
38,SGD_2,train,0.8715436779020594,0.2439693801335727,0.6567839951841871,0.6567839951841871
39,SGD_2,test,0.8724852367130418,0.2440825663441889,0.6555191390553843,0.6555191390553843
40,SGD_3,train,0.7753171683807522,0.25576066675115267,0.7509830709480109,0.7509830709480109
41,SGD_3,test,0.768241417275548,0.2460034595168333,0.7408587209892501,0.7408587209892502
42,SGD_3,train,0.7973875835147511,0.27295927044036616,0.7607821607724456,0.7607821607724456
43,SGD_3,test,0.7937143429086178,0.2686896609431847,0.7574977009751075,0.7574977009751075
44,SGD_3,train,0.7558741836198484,0.27135678788293555,0.7836738719396004,0.7836738719396004
