,model,run_type,accuracy,average precision,balanced accuracy,AUROC
0,decision_tree_1,train,0.9998498611215374,0.9988888397403504,0.9993693504309439,0.9993693504309439
1,decision_tree_1,test,0.8480632569312381,0.20983938028229632,0.6414760973168026,0.6414760973168026
2,decision_tree_1,train,0.999887395841153,0.9991666298052627,0.9995270128232079,0.9995270128232079
3,decision_tree_1,test,0.8466619957962166,0.20930235553233417,0.6419531549813925,0.6419531549813925
4,decision_tree_1,train,0.999824837975127,0.998703646363742,0.9992642421694344,0.9992642421694344
5,decision_tree_1,test,0.8535682113902512,0.22057464857597206,0.6498718394064101,0.6498718394064101
6,decision_tree_1,train,0.9998373495483323,0.9987962430520462,0.9993167963001892,0.9993167963001892
7,decision_tree_1,test,0.8523671304173757,0.22176826489154872,0.652461963080589,0.652461963080589
8,decision_tree_1,train,0.9998748842679479,0.9990740331169586,0.9994744586924532,0.9994744586924532
9,decision_tree_1,test,0.8535682113902512,0.2204257549232037,0.649690071314366,0.649690071314366
10,decision_tree_1,train,0.9998373495483323,0.9987962430520462,0.9993167963001892,0.9993167963001892
11,decision_tree_1,test,0.8558202382143929,0.2247780350443428,0.6527859434522141,0.652785943452214
12,decision_tree_1,train,0.9998123264019217,0.9986110496754379,0.9992116880386799,0.9992116880386799
13,decision_tree_1,test,0.8500650585526974,0.21021124459451934,0.6402492820912558,0.6402492820912556
14,decision_tree_1,train,0.9998373495483323,0.9987962430520462,0.9993167963001892,0.9993167963001892
15,decision_tree_1,test,0.8522169952957662,0.21507390021217845,0.6443789542828176,0.6443789542828176
16,decision_tree_1,train,0.999887395841153,0.9991666298052627,0.9995270128232079,0.9995270128232079
17,decision_tree_1,test,0.8522169952957662,0.21640228906195824,0.6460148671112153,0.6460148671112153
18,decision_tree_1,train,0.9998373495483323,0.9987962430520462,0.9993167963001892,0.9993167963001892
19,decision_tree_1,test,0.8506655990391352,0.219855075424309,0.6516779866972596,0.6516779866972597
20,decision_tree_1 e mezzo,train,0.9998498611215374,0.9987402897333614,0.999914787252173,0.9999147872521729
21,decision_tree_1 e mezzo,test,0.8507156440796717,0.1987755142655553,0.6253500176001278,0.6253500176001278
22,decision_tree_1 e mezzo,train,0.9998748842679479,0.99895002099958,0.9999289893768109,0.9999289893768109
23,decision_tree_1 e mezzo,test,0.8552196977279551,0.21324466262177888,0.6393577898337239,0.6393577898337239
24,decision_tree_1 e mezzo,train,0.9997998148287166,0.998321091290661,0.9998863830028972,0.9998863830028972
25,decision_tree_1 e mezzo,test,0.8513161845661095,0.20741713746956053,0.6356881136538666,0.6356881136538666
26,decision_tree_1 e mezzo,train,0.9998123264019217,0.9984258579074404,0.9998934840652162,0.9998934840652162
27,decision_tree_1 e mezzo,test,0.8537183465118606,0.21185711707263072,0.6390509666315858,0.6390509666315858
28,decision_tree_1 e mezzo,train,0.9998748842679479,0.99895002099958,0.9999289893768109,0.9999289893768109
29,decision_tree_1 e mezzo,test,0.8521669502552297,0.20781512002864572,0.6354439135233765,0.6354439135233765
30,decision_tree_1 e mezzo,train,0.999824837975127,0.9985306465155331,0.9999005851275351,0.9999005851275351
31,decision_tree_1 e mezzo,test,0.857071364227805,0.21587229941917507,0.640772283241013,0.640772283241013
32,decision_tree_1 e mezzo,train,0.9997998148287166,0.998321091290661,0.9998863830028972,0.9998863830028972
33,decision_tree_1 e mezzo,test,0.8526674006605945,0.20532400204578694,0.6319108260832054,0.6319108260832054
34,decision_tree_1 e mezzo,train,0.999824837975127,0.9985306465155331,0.9999005851275351,0.9999005851275351
35,decision_tree_1 e mezzo,test,0.8555700130117105,0.21323218954827533,0.6390113153025212,0.6390113153025213
36,decision_tree_1 e mezzo,train,0.9998748842679479,0.99895002099958,0.9999289893768109,0.9999289893768109
37,decision_tree_1 e mezzo,test,0.8565208687819037,0.2123314306730109,0.6370062427501407,0.6370062427501407
38,decision_tree_1 e mezzo,train,0.999824837975127,0.9985306465155331,0.9999005851275351,0.9999005851275351
39,decision_tree_1 e mezzo,test,0.8510159143228906,0.20838510469212473,0.6371536009866101,0.63715360098661
40,decision_tree_1 e settantacinque,train,0.9220028526386908,0.4584767894794286,0.7678744456588616,0.7678744456588615
41,decision_tree_1 e settantacinque,test,0.8663797417675908,0.22143994281303353,0.6373306051881704,0.6373306051881704
42,decision_tree_1 e settantacinque,train,0.9221780146635637,0.45690117881297987,0.764383068124902,0.7643830681249019
