,model,run_type,accuracy,average precision,balanced accuracy,AUROC
0,decision_tree_1,train,1.0,1.0,1.0,1.0
1,decision_tree_1,test,0.7421474971341231,0.42247786884985106,0.6843334454246588,0.6843334454246589
2,decision_tree_1,train,1.0,1.0,1.0,1.0
3,decision_tree_1,test,0.7441345051585785,0.42739444577275887,0.6897256296612784,0.6897256296612784
4,decision_tree_1,train,1.0,1.0,1.0,1.0
5,decision_tree_1,test,0.7438288116163546,0.4264225237450729,0.68859380011455,0.68859380011455
6,decision_tree_1,train,1.0,1.0,1.0,1.0
7,decision_tree_1,test,0.7487199082919374,0.43344072961800395,0.6945804076076667,0.6945804076076667
8,decision_tree_1,train,1.0,1.0,1.0,1.0
9,decision_tree_1,test,0.7474971341230416,0.432189004745687,0.6938152958790578,0.6938152958790578
10,decision_tree_1,train,1.0,1.0,1.0,1.0
11,decision_tree_1,test,0.7432938479174628,0.42681545823318906,0.6895601601334472,0.6895601601334472
12,decision_tree_1,train,1.0,1.0,1.0,1.0
13,decision_tree_1,test,0.742529614061903,0.4246564755632044,0.6871068069124568,0.687106806912457
14,decision_tree_1,train,1.0,1.0,1.0,1.0
15,decision_tree_1,test,0.7467329002674818,0.4288341626117947,0.6896898508988212,0.6896898508988211
16,decision_tree_1,train,1.0,1.0,1.0,1.0
17,decision_tree_1,test,0.7507069163163929,0.43700419746959823,0.6979660817331905,0.6979660817331905
18,decision_tree_1,train,1.0,1.0,1.0,1.0
19,decision_tree_1,test,0.7410011463507833,0.42123705888353513,0.683454169289911,0.683454169289911
20,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
21,decision_tree_1 e mezzo,test,0.7431410011463507,0.42244090691903013,0.6835181448485512,0.6835181448485511
22,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
23,decision_tree_1 e mezzo,test,0.7562858234619794,0.43884552577704194,0.6955680058303726,0.6955680058303726
24,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
25,decision_tree_1 e mezzo,test,0.7468857470385938,0.42769819574114404,0.6879566395032215,0.6879566395032214
26,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
27,decision_tree_1 e mezzo,test,0.7470385938097057,0.42815678830676,0.6884807519826044,0.6884807519826044
28,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
29,decision_tree_1 e mezzo,test,0.7546809323653038,0.4374306311912517,0.6950392977806091,0.695039297780609
30,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
31,decision_tree_1 e mezzo,test,0.7462743599541459,0.42586440634319067,0.6858601895856895,0.6858601895856894
32,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
33,decision_tree_1 e mezzo,test,0.7541459686664119,0.434326832613727,0.6910729871097295,0.6910729871097295
34,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
35,decision_tree_1 e mezzo,test,0.7468093236530379,0.424961155699888,0.6841413882751314,0.6841413882751314
36,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
37,decision_tree_1 e mezzo,test,0.7468857470385938,0.427875291273628,0.6882074532671084,0.6882074532671084
38,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
39,decision_tree_1 e mezzo,test,0.7456629728696982,0.42479995694695216,0.6848505993116676,0.6848505993116676
40,decision_tree_1 e settantacinque,train,0.8704383048645343,0.6512803040135411,0.8161348047428139,0.8161348047428137
41,decision_tree_1 e settantacinque,test,0.7946503630110814,0.4875845904843409,0.7183506692165269,0.7183506692165268
42,decision_tree_1 e settantacinque,train,0.8690244182047461,0.6476376951893237,0.8105547619722271,0.8105547619722271
43,decision_tree_1 e settantacinque,test,0.7972487581199847,0.49120083477100995,0.7192345409216552,0.7192345409216553
44,decision_tree_1 e settantacinque,train,0.8691199510871642,0.6480399936402423,0.8137147328669662,0.8137147328669663
45,decision_tree_1 e settantacinque,test,0.7950324799388613,0.49012509166210527,0.7221272857598728,0.7221272857598728
46,decision_tree_1 e settantacinque,train,0.8697504681111239,0.6494488817795324,0.8123965009422492,0.8123965009422494
47,decision_tree_1 e settantacinque,test,0.7940389759266335,0.4868637556571829,0.7183443339980529,0.7183443339980529
48,decision_tree_1 e settantacinque,train,0.8691199510871642,0.647944305629002,0.8122097075391386,0.8122097075391385
49,decision_tree_1 e settantacinque,test,0.79258693160107,0.4857132504594517,0.7192593888952579,0.7192593888952579
50,decision_tree_1 e settantacinque,train,0.8692154839695824,0.6483438904133286,0.8148052939359421,0.8148052939359421
51,decision_tree_1 e settantacinque,test,0.7993121895299962,0.4988890502226252,0.7288599993261763,0.7288599993261763
52,decision_tree_1 e settantacinque,train,0.869540295769804,0.6490672337553371,0.8144036463003088,0.8144036463003087
53,decision_tree_1 e settantacinque,test,0.7973251815055407,0.49275567015345456,0.7219629325062351,0.7219629325062351
54,decision_tree_1 e settantacinque,train,0.8693874431579349,0.6485831861200457,0.8123326597689178,0.8123326597689179
55,decision_tree_1 e settantacinque,test,0.7953381734810853,0.48807013130592536,0.717741212501088,0.7177412125010879
56,decision_tree_1 e settantacinque,train,0.8692919102755169,0.6484347149180109,0.8136250554690023,0.8136250554690024
57,decision_tree_1 e settantacinque,test,0.795949560565533,0.4918268201751637,0.7232654505250751,0.7232654505250752
58,decision_tree_1 e settantacinque,train,0.8681837288394666,0.6456669368688533,0.8109327979880077,0.8109327979880077
59,decision_tree_1 e settantacinque,test,0.7873901413832632,0.4758465815819204,0.7120573472674506,0.7120573472674506
60,decision_tree_2,train,0.8256142764339486,0.5413384321863743,0.7303406351990597,0.7303406351990597
61,decision_tree_2,test,0.8208635842567826,0.529875178683236,0.7217470131836912,0.721747013183691
62,decision_tree_2,train,0.8251557185983416,0.5408049264426767,0.7324889274261519,0.7324889274261519
63,decision_tree_2,test,0.822850592281238,0.5355936829984257,0.7297309396471425,0.7297309396471425
64,decision_tree_2,train,0.8238755779739386,0.5365560591832405,0.7236572147362786,0.7236572147362786
65,decision_tree_2,test,0.8235384027512419,0.536247395950055,0.7261117177650602,0.7261117177650602
66,decision_tree_2,train,0.8263976460697772,0.543143354807023,0.7312188085830527,0.7312188085830525
67,decision_tree_2,test,0.8193351165456629,0.5267955757173751,0.7217729774314873,0.7217729774314873
68,decision_tree_2,train,0.8259773013871374,0.5420636573064633,0.7300909294290936,0.7300909294290936
69,decision_tree_2,test,0.822850592281238,0.5355166677039505,0.7293965212952933,0.7293965212952933
70,decision_tree_2,train,0.8262447934579082,0.5419502239676859,0.7245909398090724,0.7245909398090724
71,decision_tree_2,test,0.8226977455101261,0.5334568792177965,0.7196759041400551,0.7196759041400551
72,decision_tree_2,train,0.8235889793266843,0.5356787139952293,0.7218069443389658,0.7218069443389659
73,decision_tree_2,test,0.819487963316775,0.5256941273793158,0.7142710494664877,0.7142710494664877
74,decision_tree_2,train,0.8251175054453743,0.5412193536225332,0.7347199423295451,0.734719942329545
75,decision_tree_2,test,0.8210928544134505,0.5317837996801749,0.7281764915902222,0.7281764915902222
76,decision_tree_2,train,0.8256524895869158,0.5416007471002545,0.7313496053764067,0.7313496053764067
77,decision_tree_2,test,0.8226213221245701,0.534271760413147,0.7257259942915187,0.7257259942915187
78,decision_tree_2,train,0.826665138140548,0.5444000431573537,0.7350207116141885,0.7350207116141885
79,decision_tree_2,test,0.8232327092090179,0.5369888245202207,0.7324206965469783,0.7324206965469783
80,decision_tree_3,train,0.8690053116282624,0.6480451283040068,0.7978114945301771,0.7978114945301772
81,decision_tree_3,test,0.8064195643867024,0.5032126988978348,0.7181591049672926,0.7181591049672926
82,decision_tree_3,train,0.87168023233597,0.6546796668385009,0.8031380302203905,0.8031380302203905
83,decision_tree_3,test,0.8078716087122659,0.507418556095721,0.7228455574635629,0.7228455574635628
84,decision_tree_3,train,0.8705529443234361,0.6521344425358023,0.7990320015151597,0.7990320015151597
85,decision_tree_3,test,0.8057317539166985,0.5025955627237945,0.7191029800345807,0.7191029800345807
86,decision_tree_3,train,0.8669226947915473,0.643475103368117,0.7897187910172834,0.7897187910172833
87,decision_tree_3,test,0.8046618265189148,0.4982437956607814,0.7127588458641054,0.7127588458641055
88,decision_tree_3,train,0.8697122549581566,0.6504718111988704,0.7948531552883509,0.7948531552883509
89,decision_tree_3,test,0.8095529231944976,0.5105045110279673,0.7240961469868106,0.7240961469868107
90,decision_tree_3,train,0.869540295769804,0.649209476738558,0.8003567432405836,0.8003567432405836
91,decision_tree_3,test,0.8033626289644631,0.49833935283744335,0.7172913829952994,0.7172913829952995
92,decision_tree_3,train,0.8711834613473958,0.6542267701687685,0.7972329976107201,0.7972329976107201
93,decision_tree_3,test,0.8055024837600305,0.49919581963046217,0.7119210603363888,0.7119210603363888
94,decision_tree_3,train,0.8692536971225496,0.6488851359603309,0.7966251911834863,0.7966251911834862
95,decision_tree_3,test,0.8068781047000382,0.5044363935392457,0.7193970240535923,0.7193970240535923
96,decision_tree_3,train,0.8721578967480607,0.656180955913269,0.8017973184604927,0.8017973184604926
97,decision_tree_3,test,0.8080244554833779,0.5074060528527848,0.7222828102994358,0.7222828102994358
98,decision_tree_3,train,0.8668462684856127,0.6426532221300808,0.7938254676216658,0.7938254676216657
99,decision_tree_3,test,0.8096293465800535,0.5095814214047063,0.7215574495297644,0.7215574495297643
100,decision_tree_4,train,0.9371011502159043,0.8279476278345962,0.9009078970035354,0.9009078970035352
101,decision_tree_4,test,0.7840275124188002,0.4707039758645702,0.7093053544570682,0.7093053544570682
102,decision_tree_4,train,0.9359547556268868,0.8274719436922475,0.8949909376125583,0.8949909376125583
103,decision_tree_4,test,0.7904470768055025,0.47974703718302425,0.7130086738274062,0.7130086738274062
104,decision_tree_4,train,0.9385150368756926,0.8335483613793551,0.9003215165559392,0.9003215165559392
105,decision_tree_4,test,0.78479174627436,0.47205573192329464,0.7102538250947369,0.7102538250947369
106,decision_tree_4,train,0.9331651954602774,0.8187362745910663,0.8924067551469765,0.8924067551469765
107,decision_tree_4,test,0.788460068781047,0.47865425366340864,0.7148900887435085,0.7148900887435085
108,decision_tree_4,train,0.9370629370629371,0.8307232850492262,0.896387201061257,0.896387201061257
109,decision_tree_4,test,0.7855559801299198,0.4743138363628917,0.7127071783157273,0.7127071783157273
110,decision_tree_4,train,0.9394894722763575,0.8365893712664481,0.9012695959930147,0.9012695959930148
111,decision_tree_4,test,0.7840275124188002,0.47120926360348825,0.7101414003366915,0.7101414003366914
112,decision_tree_4,train,0.9408269326302113,0.8401721925207407,0.9034520918583987,0.9034520918583987
113,decision_tree_4,test,0.7837982422621322,0.469971079004999,0.7084773834440127,0.7084773834440126
114,decision_tree_4,train,0.9340823111314914,0.8213553324532507,0.8936285968948269,0.8936285968948269
115,decision_tree_4,test,0.7852502865876958,0.47241862747700436,0.7100704661856772,0.7100704661856772
116,decision_tree_4,train,0.9385150368756926,0.8348977481204343,0.898356622377942,0.8983566223779419
117,decision_tree_4,test,0.7913641574321743,0.4829987843385937,0.716905789995365,0.716905789995365
118,decision_tree_4,train,0.9385150368756926,0.833368329797057,0.9005932572401303,0.9005932572401303
