,model,run_type,accuracy,average precision,balanced accuracy,AUROC
0,SGD_1,train,0.8132141082960755,0.5149348693380345,0.7200407395361954,0.7200407395361955
1,SGD_1,test,0.8163546045089798,0.5208012503469845,0.7207074864653928,0.7207074864653927
2,SGD_1,train,0.8116664756009019,0.5105828050844966,0.7150785723611967,0.7150785723611968
3,SGD_1,test,0.8160489109667558,0.5202217096743469,0.7206625165621747,0.7206625165621747
4,SGD_1,train,0.764396805380412,0.3925972172530552,0.6081679178082566,0.6081679178082566
5,SGD_1,test,0.7688192586931601,0.40220521564069056,0.6141416022518469,0.6141416022518469
6,SGD_1,train,0.8106729336237533,0.5237253638289275,0.7490463608632811,0.7490463608632812
7,SGD_1,test,0.8023691249522353,0.5068533933080991,0.7367505066870044,0.7367505066870044
8,SGD_1,train,0.8205128205128205,0.5322804874417186,0.7337814481753036,0.7337814481753036
9,SGD_1,test,0.8206343141001147,0.53249118433303,0.7337105441288703,0.7337105441288703
10,SGD_1,train,0.8047881080667966,0.49641023269153584,0.7078169440416571,0.7078169440416572
11,SGD_1,test,0.7970194879633168,0.4814689313482098,0.7003479789087385,0.7003479789087385
12,SGD_1,train,0.8041575910428369,0.5052294466475189,0.7293275991147288,0.7293275991147288
13,SGD_1,test,0.8101643102789453,0.5174937665947649,0.7377300300431426,0.7377300300431427
14,SGD_1,train,0.7833123160992014,0.45162180401722585,0.6771918149658741,0.6771918149658742
15,SGD_1,test,0.7818112342376767,0.4494059083158076,0.6764989402353756,0.6764989402353755
16,SGD_1,train,0.8156406435094959,0.5184197290942767,0.7169799452377514,0.7169799452377513
17,SGD_1,test,0.8149789835689721,0.5167584989886409,0.7154052420352097,0.7154052420352097
18,SGD_1,train,0.8118002216362872,0.5174534877324629,0.7324373881813282,0.7324373881813282
19,SGD_1,test,0.8119220481467329,0.5175387357425306,0.7321780881232659,0.7321780881232659
20,SGD_2,train,0.824009324009324,0.5387743614186385,0.7335954195650375,0.7335954195650376
21,SGD_2,test,0.8207107374856706,0.5306010336873284,0.726406385157972,0.726406385157972
