,model,run_type,accuracy,average precision,balanced accuracy,AUROC
0,decision_tree_1,train,1.0,1.0,1.0,1.0
1,decision_tree_1,test,0.7443637753152464,0.4254997827911133,0.6868749988039919,0.6868749988039919
2,decision_tree_1,train,1.0,1.0,1.0,1.0
3,decision_tree_1,test,0.7465036301108139,0.42983122994969614,0.6912864129366727,0.6912864129366726
4,decision_tree_1,train,1.0,1.0,1.0,1.0
5,decision_tree_1,test,0.7438288116163546,0.4248206578982425,0.6863364762395674,0.6863364762395674
6,decision_tree_1,train,1.0,1.0,1.0,1.0
7,decision_tree_1,test,0.7466564768819258,0.4322404923147194,0.6945694768188122,0.6945694768188122
8,decision_tree_1,train,1.0,1.0,1.0,1.0
9,decision_tree_1,test,0.7449751623996943,0.43058719702989207,0.6935697010594515,0.6935697010594515
10,decision_tree_1,train,1.0,1.0,1.0,1.0
11,decision_tree_1,test,0.7408482995796714,0.42256893505019566,0.6854381944493976,0.6854381944493976
12,decision_tree_1,train,1.0,1.0,1.0,1.0
13,decision_tree_1,test,0.7429881543752388,0.4241221029491095,0.6860037975358116,0.6860037975358118
14,decision_tree_1,train,1.0,1.0,1.0,1.0
15,decision_tree_1,test,0.7440580817730226,0.4259502041868593,0.6877496793683593,0.6877496793683593
16,decision_tree_1,train,1.0,1.0,1.0,1.0
17,decision_tree_1,test,0.7473442873519297,0.4315534448809001,0.6930403696357879,0.6930403696357879
18,decision_tree_1,train,1.0,1.0,1.0,1.0
19,decision_tree_1,test,0.7439816583874665,0.4246248136092586,0.6859409382513648,0.6859409382513648
20,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
21,decision_tree_1 e mezzo,test,0.7431410011463507,0.4210168738927782,0.6815116347374555,0.6815116347374555
22,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
23,decision_tree_1 e mezzo,test,0.7547573557508598,0.43618013011817636,0.6931694370272614,0.6931694370272616
24,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
25,decision_tree_1 e mezzo,test,0.7474207107374856,0.42909702868574046,0.6894984171231938,0.6894984171231938
26,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
27,decision_tree_1 e mezzo,test,0.7443637753152464,0.42455156250382253,0.6855373253965948,0.6855373253965948
28,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
29,decision_tree_1 e mezzo,test,0.7526939243408483,0.4357315144447202,0.6944125750578418,0.6944125750578419
30,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
31,decision_tree_1 e mezzo,test,0.7487963316774933,0.43016660060913037,0.6898679908636002,0.6898679908636002
32,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
33,decision_tree_1 e mezzo,test,0.7504776461597249,0.4291847934600103,0.6870219555766942,0.6870219555766942
34,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
35,decision_tree_1 e mezzo,test,0.7431410011463507,0.42012714004384455,0.6802575659180208,0.6802575659180207
36,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
37,decision_tree_1 e mezzo,test,0.7487199082919374,0.4287306779989254,0.6878920405706812,0.6878920405706812
38,decision_tree_1 e mezzo,train,1.0,1.0,1.0,1.0
39,decision_tree_1 e mezzo,test,0.7416889568207872,0.4201013719015941,0.6813398299911504,0.6813398299911504
40,decision_tree_1 e settantacinque,train,0.8703809851350834,0.6511438511096808,0.8160950201102912,0.8160950201102912
41,decision_tree_1 e settantacinque,test,0.7937332823844097,0.4858784745699706,0.7172125044513246,0.7172125044513246
42,decision_tree_1 e settantacinque,train,0.8689479918988116,0.6474519890030304,0.810480812665977,0.8104808126659772
43,decision_tree_1 e settantacinque,test,0.7971723347344287,0.49112277482893096,0.7192651007398317,0.7192651007398317
44,decision_tree_1 e settantacinque,train,0.8691199510871642,0.6480399936402423,0.8137147328669662,0.8137147328669663
45,decision_tree_1 e settantacinque,test,0.7944210928544134,0.4889941358377566,0.7213685092497379,0.7213685092497378
46,decision_tree_1 e settantacinque,train,0.8696358286522221,0.6491665886887277,0.8121915128998851,0.8121915128998851
47,decision_tree_1 e settantacinque,test,0.7937332823844097,0.4862968077876142,0.7179649457429855,0.7179649457429854
48,decision_tree_1 e settantacinque,train,0.869234590546066,0.6482204515980282,0.8123101799337369,0.812310179933737
49,decision_tree_1 e settantacinque,test,0.792357661444402,0.48531701817257983,0.7190166499979385,0.7190166499979386
50,decision_tree_1 e settantacinque,train,0.8689479918988116,0.6476715745760973,0.8141179572082273,0.8141179572082274
51,decision_tree_1 e settantacinque,test,0.7986243790599924,0.4975763181352168,0.7279645734582934,0.7279645734582934
52,decision_tree_1 e settantacinque,train,0.8694638694638694,0.6488597356148691,0.8139743437916549,0.813974343791655
53,decision_tree_1 e settantacinque,test,0.7974016048910967,0.49278705089527075,0.7218487681000961,0.7218487681000961
54,decision_tree_1 e settantacinque,train,0.8694447628873858,0.6487373471986629,0.812685991344738,0.812685991344738
55,decision_tree_1 e settantacinque,test,0.7950324799388613,0.4877250732694822,0.7177798471858321,0.7177798471858321
56,decision_tree_1 e settantacinque,train,0.8691581642401315,0.6481007459994347,0.8133022902346982,0.8133022902346982
57,decision_tree_1 e settantacinque,test,0.7956438670233091,0.49121247717904404,0.7228024576820453,0.7228024576820453
58,decision_tree_1 e settantacinque,train,0.8681837288394666,0.6456803281591412,0.8111418292835393,0.8111418292835393
59,decision_tree_1 e settantacinque,test,0.7872372946121513,0.4756705175559842,0.7120348623158416,0.7120348623158417
60,decision_tree_2,train,0.8256142764339486,0.5413384321863743,0.7303406351990597,0.7303406351990597
61,decision_tree_2,test,0.8207107374856706,0.5295235793066946,0.7215573190561574,0.7215573190561574
62,decision_tree_2,train,0.8251557185983416,0.5408049264426767,0.7324889274261519,0.7324889274261519
63,decision_tree_2,test,0.822850592281238,0.5355936829984257,0.7297309396471425,0.7297309396471425
64,decision_tree_2,train,0.8238755779739386,0.5365560591832405,0.7236572147362786,0.7236572147362786
65,decision_tree_2,test,0.8235384027512419,0.536247395950055,0.7261117177650602,0.7261117177650602
66,decision_tree_2,train,0.8263976460697772,0.543143354807023,0.7312188085830527,0.7312188085830525
67,decision_tree_2,test,0.8193351165456629,0.5267955757173751,0.7217729774314873,0.7217729774314873
68,decision_tree_2,train,0.8259773013871374,0.5420636573064633,0.7300909294290936,0.7300909294290936
69,decision_tree_2,test,0.822850592281238,0.5355166677039505,0.7293965212952933,0.7293965212952933
70,decision_tree_2,train,0.8262447934579082,0.5419502239676859,0.7245909398090724,0.7245909398090724
71,decision_tree_2,test,0.8226977455101261,0.5334568792177965,0.7196759041400551,0.7196759041400551
72,decision_tree_2,train,0.8235889793266843,0.5356787139952293,0.7218069443389658,0.7218069443389659
73,decision_tree_2,test,0.819487963316775,0.5256941273793158,0.7142710494664877,0.7142710494664877
74,decision_tree_2,train,0.8251175054453743,0.5412193536225332,0.7347199423295451,0.734719942329545
75,decision_tree_2,test,0.8210928544134505,0.5317837996801749,0.7281764915902222,0.7281764915902222
76,decision_tree_2,train,0.8256524895869158,0.5416007471002545,0.7313496053764067,0.7313496053764067
77,decision_tree_2,test,0.8226213221245701,0.534271760413147,0.7257259942915187,0.7257259942915187
78,decision_tree_2,train,0.826665138140548,0.5444000431573537,0.7350207116141885,0.7350207116141885
79,decision_tree_2,test,0.8232327092090179,0.5369888245202207,0.7324206965469783,0.7324206965469783
80,decision_tree_3,train,0.8688906721693607,0.6477356415307075,0.7977946346537914,0.7977946346537914
81,decision_tree_3,test,0.8064959877722583,0.5033153066904998,0.718128545149116,0.7181285451491161
82,decision_tree_3,train,0.87168023233597,0.6546473157602464,0.8034097709045817,0.8034097709045818
83,decision_tree_3,test,0.8070309514711502,0.5058008762040549,0.7220112512320334,0.7220112512320334
84,decision_tree_3,train,0.8705147311704688,0.6520322971031588,0.7990054784268114,0.7990054784268114
85,decision_tree_3,test,0.8060374474589225,0.5033627068365503,0.7198167866414975,0.7198167866414974
86,decision_tree_3,train,0.8669226947915473,0.6434038240915039,0.7901159504787933,0.7901159504787935
87,decision_tree_3,test,0.8044325563622469,0.4978984875540438,0.712766920730673,0.7127669207306732
88,decision_tree_3,train,0.8697886812640911,0.650609602505136,0.7952824577970046,0.7952824577970046
89,decision_tree_3,test,0.8102407336645013,0.5118697260633972,0.7248243636787689,0.7248243636787689
90,decision_tree_3,train,0.869540295769804,0.6492074067171186,0.8003776463701369,0.8003776463701369
91,decision_tree_3,test,0.8039740160489109,0.4995626926354635,0.7180501595054343,0.7180501595054342
92,decision_tree_3,train,0.8711643547709121,0.6541335990197346,0.7974287673620775,0.7974287673620775
93,decision_tree_3,test,0.8049675200611387,0.49859062597056664,0.7124693974154744,0.7124693974154744
94,decision_tree_3,train,0.8692728036990333,0.6489300449479938,0.7966802589867668,0.7966802589867668
95,decision_tree_3,test,0.8084829957967138,0.5077793698863732,0.7215142192746398,0.7215142192746398
96,decision_tree_3,train,0.8722152164775115,0.6563314656448653,0.8018580062225684,0.8018580062225684
97,decision_tree_3,test,0.8081008788689339,0.507508594596492,0.7222522504812592,0.7222522504812591
98,decision_tree_3,train,0.8668080553326455,0.642506087775931,0.7942170071243806,0.7942170071243806
99,decision_tree_3,test,0.8091708062667177,0.5090750432724137,0.7220752267906734,0.7220752267906735
100,decision_tree_4,train,0.937368642286675,0.8286092357035366,0.9014280086948248,0.9014280086948248
